Title;Acronym;Description;Access URL;Included in data catalogue;Type;Has representation language;Format;Theme;Licence;Version;Source accessed on
Cell Ontology;CL;The Cell Ontology is a structured controlled vocabulary for cell types in animals. The Cell Ontology is designed as a structured controlled vocabulary for cell types. This ontology was constructed for use by the model organism and other bioinformatics databases, where there is a need for a controlled vocabulary of cell types. This ontology is not organism specific. It covers cell types from prokaryotes to mammals. However, it excludes plant cell types, which are covered by PO.;http://obofoundry.org/ontology/cl.html;BioPortal, OLS, OBO Foundry, Ontobee, AberOWL, Bioregistry, I-ADOPT;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;CC BY 4.0;22/06/23;2023-07-06
Zebrafish Anatomy and Development Ontology;ZFA;A structured controlled vocabulary of the anatomy and development of the Zebrafish (Danio rerio).;http://purl.obolibrary.org/obo/zfa.owl;BioPortal, OLS, OBO Foundry, Ontobee, FAIRsharing, AberOWL, I-ADOPT;Ontology;OWL;OBO, OWL, CSV, RDF/XML;Biosphere;CC BY 3.0;Not specified;2023-07-06
Xenopus Anatomy Ontology;XAO;A structured, controlled vocabulary of the anatomy and development of the African clawed frogs (Xenopus laevis and tropicalis).;http://purl.obolibrary.org/obo/xao.owl;BioPortal, OLS, Ontobee, Bioregistry, AberOWL, OBO Foundry, BARTOC, FAIRsharing, I-ADOPT;Ontology;OWL;OBO, OWL, CSV, RDF/XML;Biosphere;CC BY 3.0;v1;2023-07-06
Taxonomic rank vocabulary;TAXRANK;A vocabulary of taxonomic ranks intended to replace the sets of rank terms found in the Teleost Taxonomy Ontology, the OBO translation of the NCBI taxonomy and similar OBO taxonomy ontologies. It provides terms for taxonomic ranks drawn from both the NCBI taxonomy database and from a rank vocabulary developed for the TDWG biodiversity information standards group. Cross references to appearances of each term in each source are provided. Consistent with its intended use as a vocabulary of labels, there is no relation specifying an ordering of the rank terms.;https://bioportal.bioontology.org/ontologies/TAXRANK;BioPortal, OLS, Ontobee, OBO Foundry, AberOWL, FAIRsharing, Bioregistry;Ontology;OWL;OBO;Biosphere;CC0 1.0;v1.2;2023-07-06
Planarian Phenotype Ontology;PLANP;Planarian Phenotype Ontology is an ontology of phenotypes observed in the planarian Schmidtea mediterranea. Many of the phenotypes were seen durning RNAi experiments.;https://bioportal.bioontology.org/ontologies/PLANP;BioPortal, Ontobee, OLS, AberOWL, Bioregistry, I-ADOPT, OBO Foundry;Ontology;OWL;OWL, RDF/XML, CSV;Biosphere;CC BY 3.0;Not specified;2023-07-05
Zebrafish Developmental Stages;ZFS;An ontology of developmental stages of the Zebrafish (Danio rerio). Note that ZFA includes the leaf nodes of this ontology;http://purl.obolibrary.org/obo/zfs.owl;BioPortal, Ontobee, OLS, AberOWL, OBO Foundry, Bioregistry, FAIRsharing;Ontology;OWL;OBO, OWL, CSV, RDF/XML;Biosphere;CC BY 3.0;Not specified;2023-07-06
Zebrafish Experimental Conditions Ontology;ZECO;This ontology is designed to represent the experimental conditions applied to zebrafish and has been developed to facilitate experiment condition annotation at ZFIN.;http://purl.obolibrary.org/obo/zeco.owl;BioPortal, Ontobee, OLS, AberOWL, OBO Foundry, Bioregistry, FAIRsharing;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;CC BY 3.0;Not specified;2023-07-06
Quinoa Ontology;CO_367;Not specified;https://cropontology.org/term/CO_367:ROOT;Bioregistry;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;Not specified;2023-07-07
Human Phenotype Ontology;HPO;The Human Phenotype Ontology (HPO) provides a standardized vocabulary of phenotypic abnormalities and clinical features encountered in human disease.;http://purl.obolibrary.org/obo/hp.owl;Bioregistry, OBO Foundry, Ontobee, FAIRsharing, BARTOC, OLS, I-ADOPT;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;CC BY 4.0;Not specified;2023-07-03
Coconut Ontology;CO_326;Not specified;https://cropontology.org/term/CO_326:ROOT;Bioregistry, OLS;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;Not specified;2023-07-07
EuroVoc Core Concepts;EUROVOC;EuroVoc is a multilingual, multidisciplinary thesaurus covering the activities of the EU. It contains terms in 24 EU languages (Bulgarian, Croatian, Czech, Danish, Dutch, English, Estonian, Finnish, French, German, Greek, Hungarian, Irish, Italian, Latvian, Lithuanian, Maltese, Polish, Portuguese, Romanian, Slovak, Slovenian, Spanish and Swedish), plus in three languages of countries which are candidate for EU accession: Albanian, Macedonian and Serbian.;https://op.europa.eu/s/xF3V;EcoPortal;Thesaurus;SKOS;RDF/XML, CSV, SKOS-Core;All;CC BY 4.0;v20230131-0;2023-07-03
Alien Species Thesaurus;AlienSpecies;The Alien Species Thesaurus is an initiative to deal with the semantics about alien and invasive species. It has been developed and published by LifeWatch Italy, the Italian node of the e-science European infrastructure for biodiversity and ecosystem research (LifeWatch ERIC). It is developed on the basis of already existing glossaries created within the framework of international initiatives aimed at the study of alien and invasive species. The terms (or concepts) are shared very broadly by the scientific community, and their definitions derive from guidelines prepared by relevant international organizations, and only in few occasions by peer reviewed papers. The Thesaurus currently consists of 157 terms.;http://thesauri.lifewatchitaly.eu/alienspecies/index.php;EcoPortal;Thesaurus;SKOS;RDF/XML, CSV, SKOS-Core;Biosphere;CC BY 4.0;Not specified;2023-06-28
Degree of Establishment Controlled Vocabulary List of Terms;dwcdoe;The Darwin Core term degreeOfEstablishment provides information about degree to which an Organism survives, reproduces, and expands its range at the given place and time.. The Degree of Establishment Controlled Vocabulary provides terms that should be used as values for dwc:degreeOfEstablishment and dwciri:degreeOfEstablishment.;http://rs.tdwg.org/dwcdoe/values/;EcoPortal;Glossary;SKOS;RDF/XML, CSV, Turtle;Biosphere;CC BY 4.0;Not specified;2023-06-30
Pathway Controlled Vocabulary List of Terms;dwcpw;The Darwin Core term pathway provides information about the process by which an Organism came to be in a given place at a given time. The Pathway Controlled Vocabulary provides terms that should be used as values for dwc:pathway and dwciri:pathway.;http://rs.tdwg.org/dwcpw/values/;EcoPortal;Thesaurus;SKOS;Turtle, JSON-LD, RDF/XML;Biosphere;CC BY 4.0;Not specified;2023-07-05
Endemisms Thesaurus;Endemisms;Thesaurus on endemisms;https://ecoportal.lifewatch.eu/ontologies/ENDEMISMS?p=summary;EcoPortal;Thesaurus;SKOS;RDF/XML, CSV, SKOS-Core;Biosphere;CC BY 4.0;v20170411;2023-06-30
Establishment Means Controlled Vocabulary List of Terms;dwcem;The Darwin Core term establishmentMeans provides information about whether an organism or organisms have been introduced to a given place and time through the direct or indirect activity of modern humans. The Establishment Means Controlled Vocabulary provides terms that should be used as values for dwc:establishmentMeans and dwciri:establishmentMeans.;http://rs.tdwg.org/dwcem/values/;EcoPortal, ARDC;Glossary;SKOS;RDF/XML, CSV, Turtle;Biosphere;CC BY 4.0;Not specified;2023-07-03
Environmental Thesaurus;EnvThes;Thesaurus for long term ecological research, monitoring, experiments;http://vocabs.lter-europe.net/EnvThes/;EcoPortal, ARDC, I-ADOPT;Thesaurus;SKOS;Turtle, CSV, RDF/XML;All;CC BY 4.0;v3;2023-07-03
European Research Information Ontology;EURIO;EURIO (EUropean Research Information Ontology) conceptualises, formally encodes and makes available in an open, structured and machine-readable format data about resarch projects funded by the EU's framework programmes for research and innovation.;https://op.europa.eu/en/web/eu-vocabularies/dataset/-/resource?uri=http://publications.europa.eu/resource/dataset/eurio;EcoPortal, BARTOC;Ontology;OWL;Turtle, RDF/XML, PDF;All;Not specified;v1.1;2023-07-03
European Science Vocabulary;EuroSciVoc;European Science Vocabulary (EuroSciVoc) is the taxonomy of fields of science based on OECD's 2015 Frascati Manual taxonomy. It was extended with fields of science categories extracted from CORDIS content through a semi-automatic process developed with Natural Language Processing (NLP) techniques.;https://op.europa.eu/s/yR7p;EcoPortal, BARTOC;Thesaurus;SKOS;RDF/XML, CSV, Turtle;All;Not specified;v1.3;2023-07-03
Controlled Vocabulary for Dublin Core format: List of Terms;acformat;Audiovisual Core borrows the Dublin Core terms dc:format and dcterms:format to provide information about the physical or electronic format of a media item. This controlled vocabulary provides values for those two terms.;http://rs.tdwg.org/format/values/;EcoPortal, GBIF Repository;Glossary;SKOS;Turtle;All;CC BY 4.0;24/02/23;2023-07-07
Controlled Vocabulary for Audiovisual Core subtype: List of Terms;acsubtype;Audiovisual Core uses the terms ac:subtype and ac:subtypeLiteral to refine the type of a media item to a level more specific than the Dublin Core Type Vocabulary, http://purl.org/dc/dcmitype/. This controlled vocabulary provides values for ac:subtype and ac:subtypeLiteral.;http://rs.tdwg.org/acsubtype/values/;EcoPortal, GBIF Repository;Ontology;OWL;JSON-LD;All;CC BY 4.0;24/02/23;2023-07-07
Fish Traits Thesaurus;FishTraits;The Fish Traits Thesaurus is the first initiative to deal with the semantics of fish functional traits. It has been developed by LifeWatch Italy, the Italian node of the e-science European infrastructure for biodiversity and ecosystem research (LifeWatch ERIC). FishTraits reflects the agreement of a scientific expert community to fix semantic properties (e.g. label, definition, relationships) of approximately 220 concepts.;http://thesauri.lifewatchitaly.eu/FishTraits/index.php;EcoPortal, I-ADOPT;Thesaurus;SKOS;RDF/XML, CSV, SKOS-Core;Biosphere;CC BY 4.0;v1;2023-07-03
Macroalgae Traits Thesaurus;MacroalgaeTraits;The Macroalgae Traits Thesaurus contains several concepts on demographic and functional traits. It has been developed and published by LifeWatch Italy, the Italian node of the e-science European infrastructure for biodiversity and ecosystem research (LifeWatch ERIC). It reflects the agreement of a scientific expert community to fix semantic properties (e.g. label, definition) of approximately 100 traits.;https://ecoportal.lifewatch.eu/ontologies/MACROALGAETRAITS?p=classes;EcoPortal, I-ADOPT;Thesaurus;SKOS;RDF/XML, CSV, SKOS-Core;Biosphere;Not specified;Not specified;2023-07-03
Phytoplankton Traits Thesaurus;PhytoTraits;The Phytoplankton Traits Thesaurus is the first initiative to deal with the semantics of phytoplankton functional traits focusing on morpho-functional traits. It has been developed and published by LifeWatch Italy, the Italian node of the e-science European infrastructure for biodiversity and ecosystem research (LifeWatch ERIC). PhytoTraits reflects the agreement of a scientific expert community to fix semantic properties (e.g. label, definition) of approximately 120 traits.;http://thesauri.lifewatchitaly.eu/PhytoTraits/index.php;EcoPortal, I-ADOPT;Thesaurus;SKOS;RDF/XML, CSV, SKOS-Core;Biosphere;CC BY 4.0;v1;2023-07-05
Zooplankton Traits Thesaurus;ZOOPLANKTRAITS;The Zooplankton Traits Thesaurus contains several concepts mainly on zooplankton morpho-functional traits. It has been developed and published by LifeWatch Italy, the Italian node of the e-science European infrastructure for biodiversity and ecosystem research (LifeWatch ERIC). It reflects the agreement of a scientific expert community to fix semantic properties (e.g. label, definition) of approximately 90 traits.;https://ecoportal.lifewatch.eu/ontologies/ZOOPLANKTRAITS;EcoPortal, I-ADOPT;Thesaurus;SKOS;RDF/XML, CSV, SKOS-Core;Biosphere;CC BY 4.0;v20170317;2023-07-06
Creative Commons Licenses Ontology;CCLO;This mini-ontology contains instances for each version of the licenses and public domain entities maintained by the Creative Commons (creativecommons.org).;https://earthcubearchitecture-ecresourcereg.github.io/cclo/index-en.html;ESIP COR;Ontology;OWL;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriG;All;Not specified;v20191008T220609;2023-06-30
Sensor, Observation, Sample, and Actuator Ontology;SOSA;SSN follows a horizontal and vertical modularization architecture by including a lightweight but self-contained core ontology called SOSA (Sensor, Observation, Sample, and Actuator) for its elementary classes and properties. With their different scope and different degrees of axiomatization, SSN and SOSA are able to support a wide range of applications and use cases, including satellite imagery, large-scale scientific monitoring, industrial and household infrastructures, social sensing, citizen science, observation-driven ontology engineering, and the Web of Things.;https://www.w3.org/2015/spatial/wiki/SOSA_Ontology;ESIP COR, AgroPortal, LOV;Ontology;OWL;Turtle, OWL;All;Not specified;Not specified;2023-07-05
Semantic Sensor Network Ontology;SSN;The Semantic Sensor Network (SSN) ontology is an ontology for describing sensors and their observations, the involved procedures, the studied features of interest, the samples used to do so, and the observed properties, as well as actuators. ;https://www.w3.org/TR/vocab-ssn/;ESIP COR, BioPortal, LOV, BARTOC;Ontology;OWL;OWL, RDF/XML, CSV;All;Not specified;Not specified;2023-07-05
OpenBiodiv Ontology;OpenBiodiv-O;OpenBiodiv-O introduces classes, properties, and axioms in the domains of scholarly biodiversity publishing and biological taxonomy and aligns them with several important domain ontologies (FaBiO, DoCO, DwC, Darwin-SW, NOMEN, ENVO). By doing so, it bridges the ontological gap across scholarly biodiversity publishing and biological taxonomy and allows for the creation of a Linked Open Dataset (LOD) of biodiversity information (a biodiversity knowledge graph) and enables the creation of the OpenBiodiv Knowledge Management System.;https://github.com/vsenderov/openbiodiv-o;FAIRsharing;Ontology;OWL;OWL;Biosphere;CC BY 4.0;v1.0.1;2023-07-05
Cerrado concepts and plant community dynamics;CCON;The ontology of Cerrado wood plant dynamics was created in order to represent the set of concepts about the dynamics, that is, changes over time of the wood vegetation structure, of Cerrado. Ccon describes the main parameters used to measure the changes, such as mortality rate and recruitment rate.;http://bioportal.bioontology.org/ontologies/CCON;FAIRsharing, BioPortal;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;CC BY NC SA 2.0;v0.9.3;2023-06-29
Audiovisual Core Term List;AC;The Audiovisual Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections. It aims to represent information that will help to determine whether a particular resource or collection will be fit for some particular biodiversity science application before acquiring the media. Among others, the vocabularies address such concerns as the management of the media and collections, descriptions of their content, their taxonomic, geographic, and temporal coverage, and the appropriate ways to retrieve, attribute and reproduce them. This document contains a list of attributes of each Audiovisual Core term, including a documentation name, a specified URI, a recommended English label for user interfaces, a definition, and some ancillary notes. This document contains normative content that may not be changed without due process.;http://rs.tdwg.org/ac/doc/termlist/2023-02-24;FAIRsharing, GBIF Repository, LOV;Glossary;SKOS;RDF/XML, Turtle, JSON-LD;Biosphere;CC BY 4.0;Not specified;2023-06-30
Scientific Variables Ontology;SVO;The Scientific Variables Ontology (SVO) is a framework for representing scientific variables in machine-readable form for use in automated computational scientific workflows. ;https://scientificvariablesontology.org/svo/index.html;FAIRsharing, I-ADOPT;Ontology;OWL;RDF/XML, Turtle;Geosphere;Not specified;v2.0;2023-07-05
Ecotoxicology thesaurus;Ecotoxicology;This bilingual, French-English thesaurus structures the key concepts of ecotoxicology, the study of the impact of pollutants on ecosystems, with searchable synonyms. The resource area includes risks to human health. It also contains terms from geography, animal and plant taxonomy and chemical compounds. It uses polyhierarchy. Concepts are grouped into semantic categories. Definitions are given for some concepts.;https://skosmos.loterre.fr/3WV/en/;FAIRsharing, Loterre;Thesaurus;SKOS;RDF/XML, Turtle, JSON-LD;All;CC BY 4.0;v1.1;2023-06-30
Distribution Status GBIF Vocabulary;Not specified;A statement about the presence or absence of a Taxon at a Location.;http://rs.gbif.org/vocabulary/gbif/distribution_status/;GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;15/07/20;2023-07-07
GBIF Resource Type Vocabulary;Not specified;"A vocabulary classifying resources indexed by GBIF. This vocabulary is used exclusively by IPT versions 2.0.0 to 2.0.3.
";http://rs.gbif.org/vocabulary/gbif/resource_type;GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;13/02/15;2023-07-07
Direction GBIF Vocabulary;Not specified;"A vocabulary representing compass directions including the four cardinal directions, the four intercardinal directions, plus eight further secondary-intercardinal directions.
";http://rs.gbif.org/vocabulary/gbif/direction;GBIF Repository;Glossary;NONE;XML;Geosphere;Not specified;17/03/16;2023-07-07
IUCN Habitat Vocabulary;Not specified;Not specified;http://rs.gbif.org/vocabulary/iucn/habitat/;GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;13/02/15;2023-07-07
Acquisition source type;Not specified;Controlled values for the type of germplasm acquisition source.;http://purl.org/germplasm/germplasmType#AcquisitionSourceType;GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;11/09/12;2023-07-07
Biological status of germplasm;Not specified;Controlled values for the types of germplasm material and their cultivation status.;http://purl.org/germplasm/germplasmType#BiologicalStatusType;GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;11/09/12;2023-07-07
MIME Type EOL Vocabulary;Not specified;MIME type for EOL data objects;http://rs.gbif.org/vocabulary/eol/mimetype.xml;GBIF Repository;Glossary;NONE;XML;All;Not specified;13/02/15;2023-07-07
Controlled Vocabulary for Audiovisual Core subjectOrientation: List of Terms;acorient;The Audiovisual Core term subjectOrientation describes the viewing orientation relative to an organism or part of an organism depicted in a media item or region of interest. The subjectOrientation Controlled Vocabulary provides terms that should be used as values for ac:subjectOrientation and its literal-valued analog ac:subjectOrientationLiteral.;http://rs.tdwg.org/acorient/values/;GBIF Repository;Glossary;SKOS;JSON-LD;Biosphere;CC BY 4.0;26/04/23;2023-07-07
Controlled Vocabulary for Audiovisual Core subjectPart: List of Terms;acpart;The Audiovisual Core term subjectPart describes the part of an organism morphology, behaviour, environment depicted in a media item or region of interest. The subjectPart Controlled Vocabulary provides terms that should be used as values for ac:subjectPart and its literal-valued analog ac:subjectPartLiteral;http://rs.tdwg.org/acpart/values/;GBIF Repository;Glossary;SKOS;JSON-LD;Biosphere;CC BY 4.0;26/04/23;2023-07-07
IUCN Threat Status Vocabulary;Not specified;The IUCN Red List Categories and Criteria were developed for assessing extinction risk at the global level, considering the global population of a taxon. The threat statuses in this vocabulary also include two additional regional statuses from IUCN used for non-endemic species at regional or national levels (RE & NA).;http://rs.gbif.org/vocabulary/iucn/threat_status/;GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;06/12/18;2023-07-07
Name Relationship Types;Not specified;The kind of directed nomenclatural name relation. This controlled vocabulary is the same as used in ColDP. These are the allowable terms in the 'type' attribute of TaxonRelationshipAssertion in RCS.;https://github.com/gbif/rs.gbif.org/blob/master/sandbox/vocabulary/col/name-relation-type.xml;GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;v1;2023-07-07
Genomic Standards Consortium trophic_level Vocabulary (MIXS:0000032);Not specified;The trophic_level Vocabulary is a recommended set of values to use for the trophic_level (MIXS:0000032) term.;http://rs.gbif.org/vocabulary/dna/trophic_level/;GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;05/07/21;2023-07-07
Unit of Measurement Vocabulary;Not specified;"Units of measurement, based on the International System of Units (SI) and other non-SI units accepted for use with the SI.
";http://rs.gbif.org/vocabulary/gbif/unitOfMeasurement;GBIF Repository;Glossary;NONE;XML;All;Not specified;10/07/15;2023-07-07
Description Type GBIF Vocabulary;Not specified;Vocabulary to categorise paragraphs of a taxon description. The individual terms are selected according to common usage and in some cases are overlapping or broader/narrower terms of others.;http://rs.gbif.org/vocabulary/gbif/descriptionType;GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;13/02/15;2023-07-07
Integrated Taxonomic Information System;ITIS;"he White House Subcommittee on Biodiversity and Ecosystem Dynamics has identified systematics as a research priority that is fundamental to ecosystem management and biodiversity conservation. This primary need identified by the Subcommittee requires improvements in the organization of, and access to, standardized nomenclature. ITIS (originally referred to as the Interagency Taxonomic Information System) was designed to fulfill these requirements. In the future, the ITIS will provide taxonomic data and a directory of taxonomic expertise that will support the system. The ITIS is the result of a partnership of federal agencies formed to satisfy their mutual needs for scientifically credible taxonomic information. Since its inception, ITIS has gained valuable new partners and undergone a name change; ITIS now stands for the Integrated Taxonomic Information System.
Release date: 2021-05-26";https://www.itis.gov/info.html;GBIF Repository, BARTOC;Categorisation scheme;OWL;OWL;Biosphere;Not specified;Not specified;2023-07-03
GFBio Agreed Vocabulary for RecordBasis;RECORDBASIS;"A controlled vocabulary (Terminology) ""BasisOfRecords"" or ""RecordBasis"" (DwC: ""The specific nature of the data record.""). Based on GBIF/ DwC and BiNHum/ABCD.";http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl;GFBio Terminology Service;Ontology;OWL;OWL;Biosphere;CC0 1.0;04/07/16;2023-07-06
Kingdom;KINGDOM;"A controlled vocabulary (Terminology) for biological taxa ""Higher Classification - Kingdom (=Regnum)"". Based on GBIF and CoL.";http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl;GFBio Terminology Service;Ontology;OWL;OWL;Biosphere;CC0 1.0;1;2023-07-06
German River Names;RIVERS_DE;A controlled vocabulary of the names of rivers in Germany and their connections, extracted from the Shape File provided by the environmental authority of the Federal Republic of Germany: Umweltbundesamt (UBA).;http://terminologies.gfbio.org/terms/rivers_de/2017-03-30/rivers_de.owl;GFBio Terminology Service;Ontology;OWL;OWL;Geosphere;Not specified;30/03/17;2023-07-06
Bohlmann Ontology;Not specified;An ontology listing the natural substances that occur in the plant family of Compositae (Asteraceae);https://terminologies.gfbio.org/terminology/BOHLMANN ;GFBio Terminology Service;Ontology;OWL;OWL;Biosphere;CC0 1.0;Not specified;2023-06-29
Ecological Trait-data Standard;ETS;The Ecological Traitdata Standard (ETS) is a collection of terms for datasets on quantitative and qualitative organism properties (i.e. traits) that describe its performance or function in an ecosystem.;https://github.com/EcologicalTraitData/ETS;GFBio Terminology Service;Ontology;OWL;OWL;Biosphere;CC BY 4.0;v0.10;2023-06-30
Biological Collections Ontology;BCO;"The BCO supports the interoperability of biodiversity and biodiversity related data, including data on museum collections, environmental/metagenomic samples, and ecological surveys. A key aspect of the BCO is distinguishing among material samples (i.e. specimens), observing processes, and data about either of those entities. The BCO covers distinctions between individuals, organisms, voucher specimens, lots, samples, the relations between these entities, and the processes governing the creation and use of ""samples"". Also within scope are properties including collector, location, time, storage environment, containers, institution, and collection identifiers.";https://github.com/BiodiversityOntologies/bco;GFBio Terminology Service, OBO Foundry, BioPortal, AgroPortal, Bioregistry, AberOWL, OLS, Ontobee, BARTOC;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;CC0 1.0;v2021-11-14;2023-06-30
Traits: Marine species traits;Not specified;"""We do not permit the re distribution of the entire database unless by prior written agreement.""";http://www.marinespecies.org/traits/wiki/Traits:Marine_species_traits;I-ADOPT;Categorisation scheme;NONE;HTML;Biosphere;Not specified;Not specified;2023-07-06
Water Information System for Europe;WISE;Not specified;http://dd.eionet.europa.eu/vocabulary/wise/WisePurposeOfCollectionValue/;I-ADOPT;Thesaurus;SKOS;RDF/XML, CSV, JSON-LD;Biosphere-Geosphere-Marine;Not specified;Not specified;2023-07-06
Paleoenvironmental Standard Terms Thesaurus;PaST;"Paleoscience data are extremely heterogeneous; hundreds of different types of measurements and reconstructions are routinely made by scientists on a variety of types of physical samples. This heterogeneity is one of the biggest barriers to finding paleoclimatic records, to building large-scale data products, and to the use of paleoscience data beyond the community of specialists. Here, we document the Paleoenvironmental Standard Terms (PaST) thesaurus, the first authoritative vocabulary of standardized variable names for paleoclimatic and paleoenvironmental data developed in a formal knowledge organization structure. This structure is designed to improve data set discovery, support automated processing of data, and provide connectivity to other vocabularies. PaST is now used operationally at the World Data Service for Paleoclimatology (WDS-Paleo), one of the largest repositories of paleoscience information. Terms from the PaST thesaurus standardize a broad array of paleoenvironmental and paleoclimatic measured and inferred variables, providing enough detail for accurate and precise data discovery and thereby promoting data reuse. ";https://www.ncei.noaa.gov/access/paleo-search/study/31892;I-ADOPT;Thesaurus;SKOS;RDF/XML;Atmosphere-Geosphere;Not specified;3;2023-07-06
OZCAR - Theia in-situ thesaurus;Not specified;Thesaurus for in situ data from Environmental and Critical Zone Sciences.;https://in-situ.theia-land.fr/skosmos/theia_ozcar_thesaurus/en/;I-ADOPT;Thesaurus;SKOS;RDF/XML, Turtle;All;CC BY 4.0;Not specified;2023-07-05
LTER Controlled Vocabulary;Not specified;Not specified;https://vocab.lternet.edu/vocab/vocab/index.php;I-ADOPT, BARTOC;Thesaurus;SKOS;JSON-LD;All;CC BY SA 4.0;Not specified;2023-07-03
Drosophila Phenotype Ontology;DPO;An ontology of commonly encountered and/or high level Drosophila phenotypes. It has significant formalisation - utilising terms from GO, CL, PATO and the Drosophila anatomy ontology. It has been used by FlyBase for > 159000 annotations of phenotype.;https://bioportal.bioontology.org/ontologies/DPO;I-ADOPT, BioPortal, OBO Foundry, AberOWL, OLS, Bioregistry;Ontology;OWL;OBO, OWL, CSV, RDF/XML, JSON;Biosphere;CC BY 4.0;03/05/23;2023-07-06
Dictyostelium Discoideum Anatomy Ontology;DDANAT;A structured controlled vocabulary of the anatomy of the slime-mould Dictyostelium discoideum.;https://bioportal.bioontology.org/ontologies/DDANAT;I-ADOPT, BioPortal, OBO Foundry, Ontobee, AberOWL, OLS, Bioregistry;Ontology;OWL;OBO, OWL, CSV, RDF/XML;Biosphere;CC0 1.0;1.19;2023-07-06
Fission Yeast Phenotype Ontology;FYPO;FYPO is a formal ontology of phenotypes observed in fission yeast.;https://bioportal.bioontology.org/ontologies/FYPO;I-ADOPT, BioPortal, OBO Foundry, Ontobee, AberOWL, OLS, Bioregistry, BARTOC;Ontology;OWL;OBO, OWL, CSV, RDF/XML;Biosphere;CC BY 4.0;29/06/23;2023-07-06
I-ADOPT Framework Ontology;I-ADOPT;The I-ADOPT Framework is an ontology primarily designed to facilitate interoperability between existing variable description models (including ontologies, taxonomy, and structured controlled vocabularies). One of the challenges in representing semantic descriptions of variables is getting people to agree about what they mean when describing the components that define the variables. The I-ADOPT ontology addresses this by providing core components and their relations that can be applied to define machine-interpretable variable descriptions that re-use FAIR vocabulary terms. It was developed by a core group of terminology experts and users from the Research Data Alliance (RDA) InteroperAble Descriptions of Observable Property Terminology (I-ADOPT) Working Group. The first published versions of the ontology up to v0.9.1 satisfied the basic cross-domain interoperability requirements. This new version of the ontology (v1.0) includes exactly the same original components plus an extension which is designed to support the aggregation of variables using a range of user-defined coarser concepts to facilitate dataset discovery and aggregation into products.;https://i-adopt.github.io/index.html;I-ADOPT, LOV;Ontology;OWL;Turtle, JSON-LD, RDF/XML, N-Triples;All;CC BY 4.0;1;2023-07-06
Linked Earth Ontology;Linked Earth;The Linked Earth LiPD Ontology aims to provide a common vocabulary for annotating paleoclimatology data;http://linked.earth/ontology/;I-ADOPT, LOV, BARTOC;Ontology;OWL;Turtle, RDF/XML, N-Triples;Atmosphere-Geosphere;CC BY 2.0;1.2;2023-07-06
Anatomical Entity Ontology;AEO;"AEO is an ontology of anatomical structures that expands CARO, the Common Anatomy Reference Ontology, to about 200 classes using the is_a relationship; it thus provides a detailed type classification for tissues. The new classes were chosen for their use in categorizing the major vertebrate and invertebrate anatomy ontologies at a granularity adequate for tissues of a single cell type. The ontology should be useful in increasing the amount of knowledge in anatomy ontologies, facilitating annotation and enabling interoperability across anatomy ontologies";https://bioportal.bioontology.org/ontologies/AEO;I-ADOPT, OBO Foundry, Ontobee, AberOWL, OLS, Bioregistry, BARTOC, BioPortal, FAIRsharing;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;CC BY 4.0;Not specified;2023-07-06
C. elegans Gross Anatomy Ontology;WB-BT;A structured controlled vocabulary of the anatomy of Caenorhabditis elegans.;https://bioportal.bioontology.org/ontologies/WB-BT/?p=summary;I-ADOPT, OBO Foundry, Ontobee, AberOWL, OLS, Bioregistry, BioPortal, FAIRsharing;Ontology;OWL;OWL, OBO, CSV, RDF/XML;Biosphere;CC BY 4.0;07/04/23;2023-07-06
FuTRES Ontology of Vertebrate Traits;FOVT;FuTRES Ontology of Vertebrate Traits is an application ontology used to convert vertebrate trait data in spreadsheet to triples. FOVT leverages the BioCollections Ontology (BCO) to link observations of individual specimens to their trait values.;http://obofoundry.org/ontology/fovt;I-ADOPT, OBO Foundry, Ontobee, OLS, AberOWL, Bioregistry, BioPortal;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;CC0 1.0;Not specified;2023-07-03
